-25, 1, 25
-23, 1, 25
-21, 1, 25
-19, 1, 25
-17, 1, 25
-15, 1, 25
-13, 1, 25
-11, 1, 25
-9, 1, 25
-7, 1, 25
-5, 1, 25
-3, 1, 25
-1, 1, 25
1, 1, 25
3, 1, 25
5, 1, 25
7, 1, 25
9, 1, 25
11, 1, 25
13, 1, 25
15, 1, 25
17, 1, 25
19, 1, 25
21, 1, 25
23, 1, 25
25, 1, 25
-25, 1, 23
-21, 1, 23
25, 1, 23
-25, 1, 21
-21, 1, 21
-17, 1, 21
-15, 1, 21
-13, 1, 21
-11, 1, 21
-9, 1, 21
-7, 1, 21
-5, 1, 21
-3, 1, 21
-1, 1, 21
1, 1, 21
3, 1, 21
5, 1, 21
7, 1, 21
9, 1, 21
13, 1, 21
15, 1, 21
17, 1, 21
19, 1, 21
21, 1, 21
25, 1, 21
-25, 1, 19
-21, 1, 19
-13, 1, 19
9, 1, 19
13, 1, 19
19, 1, 19
25, 1, 19
-25, 1, 17
-21, 1, 17
-17, 1, 17
-15, 1, 17
-13, 1, 17
-11, 1, 17
-7, 1, 17
-5, 1, 17
-3, 1, 17
-1, 1, 17
1, 1, 17
3, 1, 17
5, 1, 17
7, 1, 17
9, 1, 17
13, 1, 17
15, 1, 17
19, 1, 17
21, 1, 17
23, 1, 17
25, 1, 17
-25, 1, 15
-21, 1, 15
5, 1, 15
9, 1, 15
15, 1, 15
25, 1, 15
-25, 1, 13
-21, 1, 13
1, 1, 13
5, 1, 13
9, 1, 13
11, 1, 13
15, 1, 13
19, 1, 13
21, 1, 13
25, 1, 13
-25, 1, 11
-21, 1, 11
1, 1, 11
15, 1, 11
19, 1, 11
25, 1, 11
-25, 1, 9
-21, 1, 9
1, 1, 9
3, 1, 9
5, 1, 9
7, 1, 9
9, 1, 9
11, 1, 9
19, 1, 9
23, 1, 9
25, 1, 9
-25, 1, 7
-21, 1, 7
-19, 1, 7
-17, 1, 7
1, 1, 7
11, 1, 7
13, 1, 7
15, 1, 7
19, 1, 7
25, 1, 7
-25, 1, 5
-21, 1, 5
-17, 1, 5
1, 1, 5
7, 1, 5
15, 1, 5
19, 1, 5
25, 1, 5
-25, 1, 3
-21, 1, 3
-17, 1, 3
1, 1, 3
7, 1, 3
9, 1, 3
11, 1, 3
15, 1, 3
19, 1, 3
25, 1, 3
-25, 1, 1
-21, 1, 1
7, 1, 1
11, 1, 1
19, 1, 1
25, 1, 1
-25, 1, -1
-21, 1, -1
-17, 1, -1
-15, 1, -1
-13, 1, -1
-11, 1, -1
-9, 1, -1
-7, 1, -1
-5, 1, -1
-3, 1, -1
-1, 1, -1
1, 1, -1
3, 1, -1
5, 1, -1
7, 1, -1
11, 1, -1
13, 1, -1
19, 1, -1
25, 1, -1
-25, 1, -3
-21, 1, -3
-17, 1, -3
-15, 1, -3
-7, 1, -3
-5, 1, -3
-3, 1, -3
7, 1, -3
11, 1, -3
13, 1, -3
15, 1, -3
17, 1, -3
19, 1, -3
25, 1, -3
-25, 1, -5
-21, 1, -5
-19, 1, -5
-17, 1, -5
-11, 1, -5
-3, 1, -5
-1, 1, -5
1, 1, -5
3, 1, -5
7, 1, -5
11, 1, -5
15, 1, -5
17, 1, -5
25, 1, -5
-25, 1, -7
-21, 1, -7
-17, 1, -7
-13, 1, -7
-11, 1, -7
-9, 1, -7
-7, 1, -7
3, 1, -7
7, 1, -7
11, 1, -7
15, 1, -7
23, 1, -7
25, 1, -7
-25, 1, -9
-21, 1, -9
-17, 1, -9
-11, 1, -9
7, 1, -9
11, 1, -9
21, 1, -9
23, 1, -9
25, 1, -9
-25, 1, -11
-21, 1, -11
-17, 1, -11
-15, 1, -11
-7, 1, -11
3, 1, -11
7, 1, -11
11, 1, -11
13, 1, -11
19, 1, -11
21, 1, -11
25, 1, -11
-25, 1, -13
-21, 1, -13
-17, 1, -13
-15, 1, -13
-13, 1, -13
-11, 1, -13
-9, 1, -13
-7, 1, -13
3, 1, -13
5, 1, -13
7, 1, -13
11, 1, -13
25, 1, -13
-25, 1, -15
-21, 1, -15
11, 1, -15
17, 1, -15
21, 1, -15
25, 1, -15
-25, 1, -17
-21, 1, -17
-19, 1, -17
-17, 1, -17
-15, 1, -17
-13, 1, -17
-11, 1, -17
-9, 1, -17
-7, 1, -17
-5, 1, -17
-3, 1, -17
-1, 1, -17
1, 1, -17
3, 1, -17
5, 1, -17
7, 1, -17
11, 1, -17
25, 1, -17
-25, 1, -19
11, 1, -19
25, 1, -19
-25, 1, -21
-23, 1, -21
-21, 1, -21
-19, 1, -21
-17, 1, -21
-13, 1, -21
-11, 1, -21
-9, 1, -21
-7, 1, -21
-5, 1, -21
-3, 1, -21
-1, 1, -21
1, 1, -21
3, 1, -21
5, 1, -21
7, 1, -21
9, 1, -21
11, 1, -21
13, 1, -21
15, 1, -21
17, 1, -21
25, 1, -21
-25, 1, -23
25, 1, -23
-25, 1, -25
-21, 1, -25
-19, 1, -25
-17, 1, -25
-15, 1, -25
-13, 1, -25
-11, 1, -25
-9, 1, -25
-7, 1, -25
-5, 1, -25
-3, 1, -25
-1, 1, -25
1, 1, -25
3, 1, -25
5, 1, -25
7, 1, -25
9, 1, -25
11, 1, -25
13, 1, -25
15, 1, -25
17, 1, -25
19, 1, -25
21, 1, -25
23, 1, -25
25, 1, -25
